Material,Country of Origin,Average kg Co2e per kg material,Emissions (CO2e)
Nylon,Portugal,399297.2744777775,8190450729133273.0
Nylon,Puerto Rico,399297.2744777774,9408272213214700.0
Nylon,Qatar,399297.2744777775,5640476156580022.0
Nylon,Reunion,399297.2744777774,801859670862406.4
Nylon,Romania,399297.2744777775,9491473562919020.0
Nylon,Russia,399297.2744777775,2.8627236588612077e+17
Nylon,Rwanda,399297.2744777774,68591384796308.2
Nylon,Saint Helena,399297.2744777774,3383944002086.154
Nylon,Saint Kitts and Nevis,399297.2744777774,72105769091015.39
Nylon,Saint Lucia,399297.2744777774,149417964876894.6
Nylon,Saint Pierre and Miquelon,399297.2744777774,19643382256012.305
Nylon,Saint Vincent and the Grenadines,399297.2744777774,46811943168495.25
Nylon,Samoa,399297.2744777774,31573473083766.16
Nylon,Sao Tome and Principe,399297.2744777774,21639233929083.08
Nylon,Saudi Arabia,399297.2744777775,7.222980822334022e+16
Nylon,Senegal,399297.2744777774,1170006517083155.0
Nylon,Serbia,399297.2744777774,1.0778944428504566e+16
Nylon,Seychelles,399297.2744777774,139229412201132.33
Nylon,Sierra Leone,399297.2744777774,30958210537932.316
Nylon,Singapore,399297.2744777775,9560283782624132.0
Nylon,Slovakia,399297.2744777775,2190833760313193.0
Nylon,Slovenia,399297.2744777775,2145316095317927.0
Nylon,Solomon Islands,399297.2744777774,35422615596116.914
Nylon,Somalia,399297.2744777774,134247286220233.8
Nylon,South Africa,399297.2744777775,1.152192655772753e+17
Nylon,South Korea,399297.2744777775,1.0971744229762827e+17
Nylon,South Sudan,399297.2744777774,87182252552549.27
Nylon,Spain,399297.2744777775,5.674576879601741e+16
Nylon,Sri Lanka,399297.2744777775,1630792930320388.2
Nylon,Sudan,399297.2744777774,1369327645345178.5
Nylon,Suriname,399297.2744777774,380679144023242.2
Nylon,Sweden,399297.2744777775,1343287224356683.5
Nylon,Switzerland,399297.2744777775,223821259371685.53
Nylon,Syria,399297.2744777774,1.080876656371223e+16
Nylon,Taiwan,399297.2744777775,6.993429525609496e+16
Nylon,Tajikistan,399297.2744777774,175352826843357.53
Nylon,Tanzania,399297.2744777774,972972498810414.8
Nylon,Thailand,399297.2744777775,4.232427907793846e+16
Nylon,Togo,399297.2744777774,61461609651631.92
Nylon,Tonga,399297.2744777774,21181538620596.926
Nylon,Trinidad and Tobago,399297.2744777775,1706381230392876.5
Nylon,Tunisia,399297.2744777774,5727665028259625.0
Nylon,Turkey,399297.2744777775,4.950960816719022e+16
Nylon,Turkmenistan,399297.2744777775,3788544528598825.0
Nylon,Turks and Caicos Islands,399297.2744777774,75444693882430.75
Nylon,Uganda,399297.2744777774,143785656449085.3
Nylon,Ukraine,399297.2744777775,5.859046118020671e+16
Nylon,United Arab Emirates,399297.2744777775,2.1999875437322136e+16
Nylon,United Kingdom,399297.2744777775,1.2216987154666277e+17
Nylon,United States,399297.2744777775,1.3685504733044677e+18
Nylon,United States Virgin Islands,399297.2744777774,362182168463759.1
Nylon,Uruguay,399297.2744777774,493712275105534.4
Nylon,Uzbekistan,399297.2744777775,1.093451778977358e+16
Nylon,Vanuatu,399297.2744777774,22167244957093.1
Nylon,Venezuela,399297.2744777775,7233275638119916.0
Nylon,Vietnam,399297.2744777775,2.1003512052610052e+16
Nylon,Western Sahara,399297.2744777774,19358260588430.773
Nylon,Yemen,399297.2744777774,2184937205066333.8
Nylon,Zambia,399297.2744777774,240377492651472.72
Nylon,Zimbabwe,399297.2744777774,2065365747758044.8
Polyester,Afghanistan,399297.2744777774,74115594490521.6
Polyester,Albania,399297.2744777774,21095551925793.504
Polyester,Algeria,399297.2744777775,1.000136905428043e+16
Polyester,American Samoa,399297.2744777774,75609764312875.2
Polyester,Angola,399297.2744777774,757886443825162.8
Polyester,Antarctica,399297.2744777774,0.0
Polyester,Antigua and Barbuda,399297.2744777774,121364288752679.98
Polyester,Argentina,399297.2744777775,2.282246972485617e+16
Polyester,Armenia,399297.2744777774,835373472316372.1
Polyester,Aruba,399297.2744777774,358007769616406.4
Polyester,Australia,399297.2744777775,1.0098316528842022e+17
Polyester,Austria,399297.2744777775,4790085447075178.0
Polyester,Azerbaijan,399297.2744777775,4746781615298782.0
Polyester,Bahamas,399297.2744777774,831960242831926.9
Polyester,Bahrain,399297.2744777774,8219514682027718.0
Polyester,Bangladesh,399297.2744777775,9799486039858030.0
Polyester,Barbados,399297.2744777774,425790944155067.06
Polyester,Belarus,399297.2744777775,6752417372701097.0
Polyester,Belgium,399297.2744777775,7887431953807063.0
Polyester,Belize,399297.2744777774,14466863321776.34
Polyester,Benin,399297.2744777774,58254970354913.17
Polyester,Bermuda,399297.2744777774,289624274817268.06
Polyester,Bhutan,399297.2744777774,326314245307.824
Polyester,Bolivia,399297.2744777774,1600074291804221.0
Polyester,Bosnia and Herzegovina,399297.2744777774,5141033039359615.0
Polyester,Botswana,399297.2744777774,773730219477269.4
Polyester,Brazil,399297.2744777775,2.031513590933783e+16
Polyester,British Virgin Islands,399297.2744777774,53642533279998.86
Polyester,Brunei,399297.2744777774,1316302824854249.2
Polyester,Bulgaria,399297.2744777775,7656155429108980.0
Polyester,Burkina Faso,399297.2744777774,248659595898490.47
Polyester,Burundi,399297.2744777774,10061793583761.6
Polyester,Cambodia,399297.2744777774,749710866965364.9
Polyester,Cameroon,399297.2744777774,574759106071030.2
Polyester,Canada,399297.2744777775,6.725567235802573e+16
Polyester,Cayman Islands,399297.2744777774,248628270031069.1
Polyester,Central African Republic,399297.2744777774,7338131338492.8
Polyester,Chad,399297.2744777774,73808995886251.2
Polyester,Chile,399297.2744777775,9485482045437468.0
Polyester,China,399297.2744777775,1.2569574126362834e+18
Polyester,Colombia,399297.2744777775,3877166464858199.5
Polyester,Comoros,399297.2744777774,22322025288359.984
Polyester,Congo,399297.2744777774,265763406576936.12
Polyester,Cook Islands,399297.2744777774,12988042277025.6
Polyester,Costa Rica,399297.2744777774,168133684972347.1
Polyester,Croatia,399297.2744777775,1776005755888078.0
Polyester,Cuba,399297.2744777774,7132025980977792.0
Polyester,Cyprus,399297.2744777775,1147990030703033.8
Polyester,Czechia,399297.2744777775,1.731139609912789e+16
Polyester,Democratic Republic of Congo,399297.2744777774,8895451463800.582
Polyester,Denmark,399297.2744777775,6777377719712768.0
Polyester,Djibouti,399297.2744777774,98231917672339.2
Polyester,Dominica,399297.2744777774,26111142186048.0
Polyester,Dominican Republic,399297.2744777774,5813588972033377.0
Polyester,Ecuador,399297.2744777775,1755961663025569.2
Polyester,Egypt,399297.2744777775,3.236899746669346e+16
Polyester,El Salvador,399297.2744777774,914746241898539.8
Polyester,Equatorial Guinea,399297.2744777774,209270967904153.3
Polyester,Eritrea,399297.2744777774,134169402970367.7
Polyester,Estonia,399297.2744777775,2547820284599755.0
Polyester,Ethiopia,399297.2744777774,27635342595149.668
Polyester,Falkland Islands,399297.2744777774,6167631861187.2
Polyester,Fiji,399297.2744777774,147137786858735.97
Polyester,Finland,399297.2744777775,6928863971218054.0
Polyester,France,399297.2744777775,1.488364665450207e+16
Polyester,French Guiana,399297.2744777774,110825277694143.77
Polyester,French Polynesia,399297.2744777774,180872182050825.6
Polyester,Gabon,399297.2744777774,357508229274888.0
Polyester,Gambia,399297.2744777774,101582097266037.6
Polyester,Georgia,399297.2744777774,597748420237798.6
Polyester,Germany,399297.2744777775,2.0013660702105136e+17
Polyester,Ghana,399297.2744777774,1199173917065327.5
Polyester,Gibraltar,399297.2744777774,71877221556590.3
Polyester,Greece,399297.2744777775,1.428253986651409e+16
Polyester,Greenland,399297.2744777774,63046403256461.75
Polyester,Grenada,399297.2744777774,81596981687320.0
Polyester,Guadeloupe,399297.2744777774,615532661027193.5
Polyester,Guam,399297.2744777774,775024158229874.0
Polyester,Guatemala,399297.2744777774,1785268803080366.2
Polyester,Guinea,399297.2744777774,261479078747582.34
Polyester,Guinea-Bissau,399297.2744777774,14113522543665.6
Polyester,Guyana,399297.2744777774,381612842408735.94
Polyester,Haiti,399297.2744777774,241643164336212.44
Polyester,Honduras,399297.2744777774,1509355382270425.0
Polyester,Hong Kong,399297.2744777775,9003281065128789.0
Polyester,Hungary,399297.2744777775,4765746851300143.0
Polyester,Iceland,399297.2744777775,834270286791.6621
Polyester,India,399297.2744777775,3.0410695605481805e+17
Polyester,Indonesia,399297.2744777775,4.990809048513447e+16
Polyester,Iran,399297.2744777775,5.8248447576514776e+16
Polyester,Iraq,399297.2744777775,1.0816831315961284e+16
Polyester,Ireland,399297.2744777775,5775961363297926.0
Polyester,Israel,399297.2744777775,1.435869207795881e+16
Polyester,Italy,399297.2744777775,8.665608905017448e+16
Polyester,Jamaica,399297.2744777774,2078408365304667.8
Polyester,Japan,399297.2744777775,3.063767742329901e+17
Polyester,Jordan,399297.2744777774,5063289905327748.0
Polyester,Kazakhstan,399297.2744777775,3.869196025223906e+16
Polyester,Kenya,399297.2744777774,788183734954338.4
Polyester,Kiribati,399297.2744777774,9506556652219.2
Polyester,Kosovo,399297.2744777774,1906273919436481.2
Polyester,Kuwait,399297.2744777775,1.1273031859605102e+16
Polyester,Kyrgyzstan,399297.2744777774,912357551908271.8
Polyester,Laos,399297.2744777774,1372502914090881.5
Polyester,Latvia,399297.2744777775,499636435213687.6
Polyester,Lebanon,399297.2744777774,5814592037095519.0
Polyester,Lesotho,399297.2744777774,0.0
Polyester,Liberia,399297.2744777774,119983699625601.6
Polyester,Libya,399297.2744777774,1.025123079256572e+16
Polyester,Lithuania,399297.2744777775,544051059635484.94
Polyester,Luxembourg,399297.2744777775,399944404104499.2
Polyester,Madagascar,399297.2744777774,389462117092362.06
Polyester,Malawi,399297.2744777774,67099984534857.6
Polyester,Malaysia,399297.2744777775,3.2184234993414216e+16
Polyester,Maldives,399297.2744777774,151542166302187.2
Polyester,Mali,399297.2744777774,348897231954008.75
Polyester,Malta,399297.2744777774,864326420528275.1
Polyester,Martinique,399297.2744777774,624956682459859.2
Polyester,Mauritania,399297.2744777774,224770365218059.5
Polyester,Mauritius,399297.2744777774,915306557814422.1
Polyester,Mexico,399297.2744777775,7.1125437475662376e+16
Polyester,Moldova,399297.2744777774,2929811411233672.0
Polyester,Mongolia,399297.2744777774,2535720282389441.0
Polyester,Montenegro,399297.2744777774,518218595702793.44
Polyester,Montserrat,399297.2744777774,8658694851350.399
Polyester,Morocco,399297.2744777775,6022062033481032.0
Polyester,Mozambique,399297.2744777774,350167824143027.7
Polyester,Namibia,399297.2744777774,22463859798681.383
Polyester,Nauru,399297.2744777774,12237722099265.598
Polyester,Nepal,399297.2744777774,4547840661438.911
Polyester,Netherlands,399297.2744777775,3.742657200934062e+16
Polyester,Netherlands Antilles,399297.2744777774,427040677443144.0
Polyester,New Caledonia,399297.2744777774,805011015516926.4
Polyester,New Zealand,399297.2744777775,3315579307891952.5
Polyester,Nicaragua,399297.2744777774,899246477841320.8
Polyester,Niger,399297.2744777774,154681032544069.5
Polyester,Nigeria,399297.2744777774,7352720589833028.0
Polyester,Niue,399297.2744777774,1350576319968.0
Polyester,North Korea,399297.2744777774,3893335847889659.5
Polyester,North Macedonia,399297.2744777775,0.0
Polyester,Norway,399297.2744777775,421606507811996.0
Polyester,Oman,399297.2744777775,4420087694388544.5
Polyester,Pakistan,399297.2744777775,1.6232310984180142e+16
Polyester,Palestine,399297.2744777774,162007031885441.47
Polyester,Panama,399297.2744777774,1228789237942857.5
Polyester,Papua New Guinea,399297.2744777774,986077924513322.0
Polyester,Paraguay,399297.2744777774,2093693424021.4968
Polyester,Peru,399297.2744777775,3046340742563278.0
Polyester,Philippines,399297.2744777775,1.4240671795353738e+16
Polyester,Poland,399297.2744777775,8.37028509568928e+16
Polyester,Portugal,399297.2744777775,8190450729358639.0
Polyester,Puerto Rico,399297.2744777774,9408272212134414.0
Polyester,Qatar,399297.2744777775,5640476156959256.0
Polyester,Reunion,399297.2744777774,801859670770334.4
Polyester,Romania,399297.2744777775,9491473563290826.0
Polyester,Russia,399297.2744777775,2.862723658986393e+17
Polyester,Rwanda,399297.2744777774,68591384790327.516
Polyester,Saint Helena,399297.2744777774,3383944001697.6
Polyester,Saint Kitts and Nevis,399297.2744777774,72105769082735.98
Polyester,Saint Lucia,399297.2744777774,149417964859737.94
Polyester,Saint Pierre and Miquelon,399297.2744777774,19643382253756.8
Polyester,Saint Vincent and the Grenadines,399297.2744777774,46811943163120.164
Polyester,Samoa,399297.2744777774,31573473080140.8
Polyester,Sao Tome and Principe,399297.2744777774,21639233926598.4
Polyester,Saudi Arabia,399297.2744777775,7.222980822104328e+16
Polyester,Senegal,399297.2744777774,1170006516948811.5
Polyester,Serbia,399297.2744777774,1.0778944428933676e+16
Polyester,Seychelles,399297.2744777774,139229412185145.58
Polyester,Sierra Leone,399297.2744777774,30958210534377.6
Polyester,Singapore,399297.2744777775,9560283782698292.0
Polyester,Slovakia,399297.2744777775,2190833760375797.8
Polyester,Slovenia,399297.2744777775,2145316095404764.5
Polyester,Solomon Islands,399297.2744777774,35422615592049.586
Polyester,Somalia,399297.2744777774,134247286204819.2
Polyester,South Africa,399297.2744777775,1.152192655817137e+17
Polyester,South Korea,399297.2744777775,1.0971744230112757e+17
Polyester,South Sudan,399297.2744777774,87182252542538.77
Polyester,Spain,399297.2744777775,5.674576879753274e+16
Polyester,Sri Lanka,399297.2744777775,1630792930189167.0
Polyester,Sudan,399297.2744777774,1369327645250506.5
Polyester,Suriname,399297.2744777774,380679143979531.56
Polyester,Sweden,399297.2744777775,1343287224281303.0
Polyester,Switzerland,399297.2744777775,223821259345985.75
Polyester,Syria,399297.2744777774,1.080876656328244e+16
Polyester,Taiwan,399297.2744777775,6.993429525789594e+16
Polyester,Tajikistan,399297.2744777774,175352826823223.06
Polyester,Tanzania,399297.2744777774,972972498826884.6
Polyester,Thailand,399297.2744777775,4.232427907986407e+16
Polyester,Togo,399297.2744777774,61461609646731.37
Polyester,Tonga,399297.2744777774,21181538618164.8
Polyester,Trinidad and Tobago,399297.2744777775,1706381230452078.8
Polyester,Tunisia,399297.2744777774,5727665028644722.0
Polyester,Turkey,399297.2744777775,4.950960816936188e+16
Polyester,Turkmenistan,399297.2744777775,3788544528375402.0
Polyester,Turks and Caicos Islands,399297.2744777774,75444693873767.98
Polyester,Uganda,399297.2744777774,143785656432575.4
Polyester,Ukraine,399297.2744777775,5.859046118200233e+16
Polyester,United Arab Emirates,399297.2744777775,2.19998754388011e+16
Polyester,United Kingdom,399297.2744777775,1.2216987155156886e+17
Polyester,United States,399297.2744777775,1.3685504733608543e+18
Polyester,United States Virgin Islands,399297.2744777774,362182168422172.4
Polyester,Uruguay,399297.2744777774,493712275081369.56
Polyester,Uzbekistan,399297.2744777775,1.0934517790340974e+16
Polyester,Vanuatu,399297.2744777774,22167244954547.8
Polyester,Venezuela,399297.2744777775,7233275638606243.0
Polyester,Vietnam,399297.2744777775,2.1003512053521348e+16
Polyester,Western Sahara,399297.2744777774,19358260586208.0
Polyester,Yemen,399297.2744777774,2184937204888144.8
Polyester,Zambia,399297.2744777774,240377492645735.2
Polyester,Zimbabwe,399297.2744777774,2065365747840267.0
